STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,LON,LAT
30110,Jackson/State (95th-bound),Jackson,40560,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.878153, -87.627596)",-87.627596,41.878153
30109,Jackson/State (Howard-bound),Jackson,40560,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.878153, -87.627596)",-87.627596,41.878153
30015,Jackson/Dearborn (Forest Pk-bound),Jackson,40070,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.878183, -87.629296)",-87.629296,41.878183
30247,Jefferson Park (O'Hare-bound),Jefferson Park,41280,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.970634, -87.760892)",-87.760892,41.970634
30248,Jefferson Park (Forest Pk-bound),Jefferson Park,41280,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.970634, -87.760892)",-87.760892,41.970634
30226,Kedzie (Loop-bound),Kedzie,41180,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.965996, -87.708821)",-87.708821,41.965996
30202,Kedzie (54th/Cermak-bound),Kedzie,41040,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.853964, -87.705408)",-87.705408,41.853964
30201,Kedzie (Loop-bound),Kedzie,41040,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.853964, -87.705408)",-87.705408,41.853964
30225,Kedzie (Kimball-bound),Kedzie,41180,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.965996, -87.708821)",-87.708821,41.965996
30207,Kedzie (63rd-bound),Kedzie,41070,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.884321, -87.706155)",-87.706155,41.884321
